City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
86,Namuac,18.6109,121.1657,78.89,78,36,8.3,scattered clouds
87,Castro,-24.7911,-50.0119,53.73,98,100,8.61,overcast clouds
88,Avarua,-21.2078,-159.775,75.25,83,75,6.91,light rain
89,Orichi,58.4036,49.0572,56.12,85,100,1.34,overcast clouds
90,Iquitos,-3.7481,-73.2472,86.04,70,40,4.61,scattered clouds
91,Dongfeng,42.6403,125.5118,57.34,61,46,4.63,scattered clouds
92,Guerrero Negro,27.9769,-114.0611,70.0,57,11,20.4,few clouds
93,Tongliao,43.6125,122.2653,60.87,45,14,4.99,few clouds
94,Nikolskoye,59.7035,30.7861,52.72,95,1,5.03,clear sky
95,Lata,40.1629,-8.3327,60.76,94,76,2.84,broken clouds
96,Weston,26.1004,-80.3998,83.01,72,20,5.75,few clouds
97,Victoria,22.2855,114.1577,83.32,83,77,3.0,broken clouds
98,Santiago,-33.4569,-70.6483,58.17,33,20,5.75,few clouds
99,Cape Town,-33.9258,18.4232,54.12,87,0,5.75,clear sky
100,Hvide Sande,56.0045,8.1294,41.09,70,40,4.47,scattered clouds
101,Beira,-19.8436,34.8389,69.89,94,75,4.61,broken clouds
102,Dzaoudzi,-12.7887,45.2699,76.89,73,0,8.05,clear sky
103,Kedrovyy,56.1667,91.8167,50.41,72,98,3.76,overcast clouds
104,Pangnirtung,66.1451,-65.7125,35.6,80,20,12.66,few clouds
105,Maldonado,-34.6667,-54.9167,46.22,77,14,4.38,few clouds
106,Bonavista,48.6499,-53.1147,41.52,93,100,18.05,overcast clouds
107,Dikson,73.5069,80.5464,29.59,95,100,21.47,overcast clouds
108,Yulara,-25.2406,130.9889,49.33,82,100,11.9,overcast clouds
109,Akureyri,65.6835,-18.0878,44.53,93,100,10.36,overcast clouds
110,Leningradskiy,69.3833,178.4167,35.82,95,100,3.58,overcast clouds
111,Batagay,67.6333,134.6333,55.58,59,42,6.93,scattered clouds
112,Amapa,1.0,-52.0,72.93,98,51,2.08,moderate rain
113,Ramanuj Ganj,23.8,83.7,79.63,30,2,3.85,clear sky
114,Sitka,57.0531,-135.33,51.69,82,100,4.61,overcast clouds
115,Puerto Ayora,-0.7393,-90.3518,78.76,83,91,11.36,overcast clouds
116,Campoverde,-8.4753,-74.8058,82.09,71,100,2.33,overcast clouds
117,Maarianhamina,60.0973,19.9348,49.86,93,100,4.61,overcast clouds
118,Souillac,-20.5167,57.5167,73.78,64,40,9.22,scattered clouds
119,Sorland,67.667,12.6934,51.66,81,49,11.01,scattered clouds
120,Lixourion,38.2019,20.4314,66.2,100,0,0.0,clear sky
121,Wanaka,-44.7,169.15,48.51,93,100,4.61,overcast clouds
122,Mataura,-46.1927,168.8643,48.47,81,92,4.05,light rain
123,Kailua,21.4022,-157.7394,84.18,69,75,14.97,broken clouds
124,Mokolo,10.7398,13.8019,82.65,43,67,1.95,broken clouds
125,Avera,33.194,-82.5271,92.55,39,28,4.25,scattered clouds
126,Tasiilaq,65.6145,-37.6368,41.16,89,98,1.7,overcast clouds
127,Khatanga,71.9667,102.5,35.71,77,100,8.95,overcast clouds
128,Novska,45.3406,16.9769,59.5,96,8,4.43,clear sky
129,Komsomolskiy,40.4272,71.7189,61.52,63,0,6.91,clear sky
130,Teahupoo,-17.8333,-149.2667,76.96,79,100,16.84,overcast clouds
131,La Ferte-Bernard,48.1863,0.6536,56.82,82,82,6.53,broken clouds
132,Miri,4.4148,114.0089,75.34,100,20,0.0,few clouds
133,Atuona,-9.8,-139.0333,77.88,73,7,11.83,clear sky
134,Rocha,-34.4833,-54.3333,40.1,74,17,5.55,few clouds
135,Dahuk,36.8695,42.994,79.47,21,1,5.79,clear sky
136,Mattru,7.6244,-11.8332,75.22,96,61,2.06,light rain
137,Marzuq,14.4,46.4667,77.81,29,31,4.52,scattered clouds
138,Saskylakh,71.9167,114.0833,21.87,96,94,4.32,overcast clouds
139,Rio Claro,-22.4114,-47.5614,63.72,93,100,5.68,overcast clouds
140,Broome,42.2506,-75.833,87.44,48,0,6.91,clear sky
141,Gloucester,51.8657,-2.2431,52.72,83,84,5.19,broken clouds
142,Hobyo,5.3505,48.5268,78.44,84,44,26.98,scattered clouds
143,Tuatapere,-46.1333,167.6833,53.01,81,100,4.85,light rain
144,Bredasdorp,-34.5322,20.0403,50.2,72,14,7.56,few clouds
145,Praia,14.9215,-23.5087,73.94,83,40,20.71,scattered clouds
146,The Pas,53.8251,-101.2541,51.82,46,20,21.85,few clouds
147,Yerbogachen,61.2767,108.0108,49.5,87,27,4.81,scattered clouds
148,Kalabo,-14.97,22.6814,57.07,49,1,5.84,clear sky
149,San Cristobal,7.7669,-72.225,78.98,55,48,3.69,scattered clouds
150,Ibra,22.6906,58.5334,78.48,60,0,3.58,clear sky
151,Cabo San Lucas,22.8909,-109.9124,92.61,39,0,8.05,clear sky
152,Ternate,0.8,127.4,80.4,80,81,4.72,broken clouds
153,Vestmanna,62.1564,-7.1664,43.72,87,12,3.44,few clouds
154,Chuy,-33.6971,-53.4616,43.74,67,63,5.95,broken clouds
