City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
74,Leningradskiy,RU,39.36,overcast clouds,69.3833,178.4167,Gostinitsa
75,Homer,US,67.77,clear sky,59.6425,-151.5483,Beluga Lake Lodge
76,Zaranj,AF,82.92,clear sky,30.9667,61.8833,کارگاه بلوک زنی سرهنگ
77,Ushuaia,AR,35.26,scattered clouds,-54.8,-68.3,Albatross Hotel
78,Tasiilaq,GL,35.76,light rain,65.6145,-37.6368,The Red House
80,Tuktoyaktuk,CA,42.57,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
81,Mahebourg,MU,73.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
82,Codrington,AU,45.32,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
84,Namibe,AO,74.59,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
85,Hobart,AU,39.06,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
86,Sampit,ID,73.47,scattered clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
87,San Policarpo,PH,81.19,overcast clouds,12.1791,125.5072,Agapita M. Nicart
88,Nouadhibou,MR,68.49,scattered clouds,20.931,-17.0347,El Medina
89,Chumikan,RU,33.01,snow,54.7183,135.315,Fortuna
90,Presidencia Roque Saenz Pena,AR,59.76,scattered clouds,-26.7852,-60.4388,Hotel Gualok
91,Hithadhoo,MV,82.24,overcast clouds,-0.6,73.0833,Scoop Guest House
92,Maragogi,BR,77.83,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
93,Puerto Escondido,MX,79.27,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
94,Upernavik,GL,27.88,clear sky,72.7868,-56.1549,Café de Upernavik
95,Peniche,PT,69.08,few clouds,39.3558,-9.3811,Hotel Star inn Peniche
96,Vila Velha,BR,76.95,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
97,Calbuco,CL,47.41,broken clouds,-41.768,-73.1273,Hotel Colonial
98,Husavik,IS,46.98,overcast clouds,66.0449,-17.3389,Bjarnabúð
99,Barrow,US,32.02,overcast clouds,71.2906,-156.7887,King Eider Inn
100,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
101,San Jose,US,93.9,few clouds,37.3394,-121.895,The Westin San Jose
102,Iqaluit,CA,32.99,overcast clouds,63.7506,-68.5145,Frobisher Inn
103,Carnarvon,AU,62.89,clear sky,-24.8667,113.6333,Hospitality Carnarvon
104,Saint Anthony,US,71.91,few clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
105,Yenagoa,NG,76.93,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
106,Chagoda,RU,55.63,broken clouds,59.164,35.3285,Rodnik
107,Soyo,AO,74.21,clear sky,-6.1349,12.3689,Hotel Mpampa
108,Limenaria,GR,73.26,clear sky,40.6261,24.5786,Thalassies Hotel
109,Klaksvik,FO,47.32,broken clouds,62.2266,-6.589,Airbnb rooms
110,Thompson,CA,35.76,mist,55.7435,-97.8558,Burntwood Hotel
111,Rocha,UY,47.84,few clouds,-34.4833,-54.3333,Hotel Arrarte
112,Qaanaaq,GL,28.63,broken clouds,77.484,-69.3632,Qaanaaq Hotel
113,Murgab,TM,80.55,clear sky,37.4966,61.9714,Wepa Nurlyýew
114,Talnakh,RU,29.21,light snow,69.4865,88.3972,Talnakh Hotel
115,Bambous Virieux,MU,73.22,light rain,-20.3428,57.7575,Casa Tia Villa
116,Mnogovershinnyy,RU,45.28,overcast clouds,53.9353,139.9242,Obshchezhitiye 14
117,San Luis,AR,53.02,broken clouds,-33.295,-66.3356,Huarpes Hotel
118,Padang,ID,75.79,moderate rain,-0.9492,100.3543,Mercure Padang
119,Mareeba,AU,63.32,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
120,Khatanga,RU,36.84,broken clouds,71.9667,102.5,"""Khatanga"""
121,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
123,Port Alfred,ZA,55.18,clear sky,-33.5906,26.891,The Halyards Hotel
124,Mujiayingzi,CN,61.16,clear sky,42.1167,118.7833,Jinjiang Hotel
125,Kavieng,PG,79.75,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
126,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
127,Plouzane,FR,57.38,clear sky,48.3833,-4.6167,Lymina
129,Tiksi,RU,32.25,overcast clouds,71.6872,128.8694,Arktika
