City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Umm Lajj,25.0213,37.2685,80.94,48,10,9.78,SA,2022-05-22 18:47:56
68,Ilebo,-4.3167,20.5833,71.04,98,100,1.28,CD,2022-05-22 18:47:56
69,Yulara,-25.2406,130.9889,56.73,43,100,8.34,AU,2022-05-22 18:47:56
70,Thompson,55.7435,-97.8558,60.96,29,75,6.91,CA,2022-05-22 18:47:56
71,Kempele,64.9131,25.5034,50.02,53,0,3.44,FI,2022-05-22 18:47:57
72,Clyde River,70.4692,-68.5914,19.63,93,100,34.52,CA,2022-05-22 18:47:57
73,Akdepe,42.0551,59.3788,64.49,40,0,9.95,TM,2022-05-22 18:47:57
74,Arraial Do Cabo,-22.9661,-42.0278,76.96,64,0,12.66,BR,2022-05-22 18:47:57
75,Fairbanks,64.8378,-147.7164,63.09,31,0,6.91,US,2022-05-22 18:44:51
76,Olinda,-8.0089,-34.8553,83.93,65,75,18.41,BR,2022-05-22 18:47:58
77,Upington,-28.4478,21.2561,55.78,82,0,5.75,ZA,2022-05-22 18:47:58
78,Champerico,14.3,-91.9167,86.54,72,100,9.75,GT,2022-05-22 18:47:58
79,Bilibino,68.0546,166.4372,43.16,70,79,3.89,RU,2022-05-22 18:47:59
80,Acapulco,16.8634,-99.8901,87.06,55,5,10.54,MX,2022-05-22 18:47:59
81,College,64.8569,-147.8028,63.09,31,40,6.91,US,2022-05-22 18:47:59
82,Hami,42.8,93.45,80.17,18,94,12.66,CN,2022-05-22 18:45:39
83,Kristiinankaupunki,62.2743,21.376,45.12,64,100,3.38,FI,2022-05-22 18:47:59
84,Gunjur,13.2019,-16.7339,78.87,69,0,10.36,GM,2022-05-22 18:48:00
85,Asau,46.4333,26.4,58.28,74,96,0.96,RO,2022-05-22 18:48:00
86,San Cristobal,7.7669,-72.225,82.58,41,1,8.05,VE,2022-05-22 18:47:12
87,Castro,-24.7911,-50.0119,64.49,51,4,5.06,BR,2022-05-22 18:48:00
88,Malumfashi,11.7853,7.6218,88.11,20,61,6.44,NG,2022-05-22 18:48:00
89,Ponta Do Sol,32.6667,-17.1,72.01,76,14,2.06,PT,2022-05-22 18:48:01
90,Ebbw Vale,51.7771,-3.2079,60.78,80,100,5.55,GB,2022-05-22 18:48:01
91,Ushtobe,45.2514,77.9838,63.01,35,100,4.23,KZ,2022-05-22 18:48:01
92,Damphu,27.0721,90.1096,61.39,96,8,4.47,BT,2022-05-22 18:48:01
93,Middletown,39.5151,-84.3983,67.53,71,40,10.36,US,2022-05-22 18:44:32
94,Dikson,73.5069,80.5464,21.96,92,76,8.61,RU,2022-05-22 18:49:02
95,Roald,62.5833,6.1333,60.17,87,75,6.91,NO,2022-05-22 18:49:02
96,Vardo,70.3705,31.1107,37.38,93,75,16.11,NO,2022-05-22 18:49:02
97,Araouane,18.9048,-3.5265,96.58,7,0,11.95,ML,2022-05-22 18:49:02
98,Los Llanos De Aridane,28.6585,-17.9182,68.13,75,75,17.27,ES,2022-05-22 18:49:03
99,Pevek,69.7008,170.3133,34.65,89,89,11.32,RU,2022-05-22 18:49:03
100,Chuy,-33.6971,-53.4616,63.21,57,39,4.88,UY,2022-05-22 18:49:03
101,Westport,41.1415,-73.3579,97.29,58,0,11.5,US,2022-05-22 18:45:20
102,Payo,-3.7508,103.6372,73.02,97,91,1.81,ID,2022-05-22 18:49:04
103,Tilichiki,60.4667,166.1,36.16,83,0,4.12,RU,2022-05-22 18:49:04
104,Fortuna,40.5982,-124.1573,60.85,81,75,8.05,US,2022-05-22 18:49:04
105,Maceio,-9.6658,-35.7353,81.84,69,75,11.5,BR,2022-05-22 18:49:04
106,Olafsvik,64.8945,-23.7142,45.55,64,1,11.9,IS,2022-05-22 18:49:05
107,Hobart,-42.8794,147.3294,50.25,85,100,11.5,AU,2022-05-22 18:49:05
108,Ustka,54.5805,16.8619,49.17,88,8,3.62,PL,2022-05-22 18:49:05
109,Manzhouli,49.6,117.4333,54.52,54,100,8.19,CN,2022-05-22 18:49:05
110,Klaksvik,62.2266,-6.589,50.92,89,53,3.78,FO,2022-05-22 18:49:06
111,Kruisfontein,-34.0033,24.7314,54.88,76,100,2.8,ZA,2022-05-22 18:49:06
112,Baie-Comeau,49.2168,-68.1489,51.48,76,40,17.27,CA,2022-05-22 18:49:06
113,Cherskiy,68.75,161.3,50.2,53,93,14.81,RU,2022-05-22 18:49:06
114,Komsomolskiy,40.4272,71.7189,57.92,67,40,4.61,UZ,2022-05-22 18:49:07
115,Guerrero Negro,27.9769,-114.0611,67.8,57,0,14.58,MX,2022-05-22 18:48:28
116,Chilchota,19.85,-102.1333,91.69,14,2,5.7,MX,2022-05-22 18:49:07
117,Areia Branca,-4.9561,-37.1369,93.4,82,91,8.81,BR,2022-05-22 18:48:58
118,Krasnoselkup,65.7,82.4667,53.26,74,72,10.69,RU,2022-05-22 18:49:07
119,Kalmunai,7.4167,81.8167,81.99,70,69,4.16,LK,2022-05-22 18:49:08
120,Pombal,-6.7703,-37.8017,83.88,56,87,7.76,BR,2022-05-22 18:47:34
121,Vila Do Maio,15.1333,-23.2167,77.79,78,8,15.84,CV,2022-05-22 18:49:08
122,Geraldton,-28.7667,114.6,64.81,72,40,17.27,AU,2022-05-22 18:49:08
123,Pangnirtung,66.1451,-65.7125,35.6,69,75,6.91,CA,2022-05-22 18:49:08
124,Mahebourg,-20.4081,57.7,75.49,69,20,11.5,MU,2022-05-22 18:49:09
125,Jalingo,8.8833,11.3667,81.37,66,100,8.61,NG,2022-05-22 18:49:09
126,Cape Town,-33.9258,18.4232,64.38,81,0,5.75,ZA,2022-05-22 18:46:16
127,Georgetown,5.4112,100.3354,82.33,88,20,0.0,MY,2022-05-22 18:49:09
128,Mayskiy,47.6931,40.1025,56.61,91,100,10.51,RU,2022-05-22 18:49:09
129,Grindavik,63.8424,-22.4338,55.35,66,0,19.57,IS,2022-05-22 18:49:10
130,Saskylakh,71.9167,114.0833,33.96,99,100,6.42,RU,2022-05-22 18:49:10
131,Kysyl-Syr,63.8986,122.7617,43.12,74,20,3.4,RU,2022-05-22 18:49:10
132,Rovaniemi,66.5,25.7167,54.81,87,42,6.91,FI,2022-05-22 18:49:11
133,Nantucket,41.2835,-70.0995,75.31,77,0,12.66,US,2022-05-22 18:47:13
134,Ostrovnoy,68.0531,39.5131,30.67,81,18,10.02,RU,2022-05-22 18:45:52
135,Maniitsoq,65.4167,-52.9,32.22,99,100,17.47,GL,2022-05-22 18:49:11
136,Hasaki,35.7333,140.8333,57.6,83,100,6.31,JP,2022-05-22 18:49:11
137,Sikasso,10.9167,-7.0,87.13,46,95,10.2,ML,2022-05-22 18:50:11
138,Yantal,56.8471,105.2542,39.15,91,15,2.55,RU,2022-05-22 18:50:12
139,Bilma,18.6853,12.9164,92.05,9,95,6.51,NE,2022-05-22 18:50:12
140,Atbasar,51.8,68.3333,47.26,63,56,14.54,KZ,2022-05-22 18:50:12
141,Jiwani,25.05,61.7417,84.96,83,0,11.48,PK,2022-05-22 18:50:12
142,Barranca,-10.75,-77.7667,68.54,71,17,7.85,PE,2022-05-22 18:47:15
