City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Bandarbeyla,SO,9.4942,50.8122,83.37,67,50,24.52,scattered clouds
79,Talnakh,RU,69.4865,88.3972,34.63,64,5,11.95,clear sky
80,Aklavik,CA,68.2191,-135.0107,30.34,78,67,5.55,broken clouds
81,Soma,TR,39.1855,27.6094,89.67,28,0,17.36,clear sky
82,Yangmei,CN,24.1023,112.5618,73.49,95,100,0.94,light rain
83,Hobart,AU,-42.8794,147.3294,48.25,73,40,17.27,scattered clouds
84,Moindou,NC,-21.6924,165.677,72.14,81,2,3.76,clear sky
85,Hillsboro,US,45.5229,-122.9898,60.28,91,100,5.75,overcast clouds
86,Aksu,CN,41.1231,80.2644,84.76,9,0,2.37,clear sky
87,Santa Maria,BR,-29.6842,-53.8069,61.0,98,100,2.71,overcast clouds
88,Maracaju,BR,-21.6144,-55.1683,75.09,53,54,10.47,broken clouds
89,Igrim,RU,63.1906,64.4162,54.14,29,0,5.39,clear sky
90,La Ronge,CA,55.1001,-105.2842,41.92,79,7,8.93,clear sky
91,Namibe,AO,-15.1961,12.1522,86.25,32,42,10.47,scattered clouds
92,Saskylakh,RU,71.9167,114.0833,41.9,64,81,17.58,broken clouds
93,Lannion,FR,48.75,-3.4167,66.74,77,75,8.05,broken clouds
94,Flinders,AU,-34.5833,150.8552,58.24,72,1,3.0,clear sky
95,Oistins,BB,13.0667,-59.5333,86.09,70,40,24.16,scattered clouds
96,Raudeberg,NO,61.9875,5.1352,50.67,73,91,14.94,overcast clouds
97,Sambava,MG,-14.2667,50.1667,77.7,67,0,14.58,clear sky
98,San Patricio,US,28.017,-97.5169,82.29,85,9,8.61,clear sky
99,Saint-Georges,GD,12.0564,-61.7485,81.84,76,34,16.67,scattered clouds
100,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,59.41,95,100,5.64,overcast clouds
101,Amazar,RU,53.858,120.875,56.62,57,15,2.06,few clouds
102,Itarema,BR,-2.9248,-39.9167,80.15,81,18,9.37,few clouds
103,Narsaq,GL,60.9167,-46.05,59.22,31,15,1.92,few clouds
104,Nome,US,64.5011,-165.4064,48.27,49,0,11.5,clear sky
105,Conde,BR,-7.2597,-34.9075,74.66,94,100,5.75,light rain
106,Lompoc,US,34.6391,-120.4579,56.93,84,100,18.99,overcast clouds
107,Sitka,US,57.0531,-135.33,48.09,81,20,3.44,few clouds
108,Aloleng,PH,16.1307,119.7824,83.55,73,100,6.35,overcast clouds
109,Dikson,RU,73.5069,80.5464,29.98,84,12,5.46,few clouds
110,Contamana,PE,-7.3333,-75.0167,75.07,83,98,1.95,overcast clouds
111,Touros,BR,-5.1989,-35.4608,81.79,71,60,14.23,moderate rain
112,Saint Anthony,US,45.0205,-93.218,61.93,86,100,5.75,overcast clouds
113,Carnarvon,AU,-24.8667,113.6333,70.59,42,19,7.76,few clouds
114,Chegem,RU,43.2833,43.1333,57.33,78,100,3.33,moderate rain
115,Bergerac,FR,44.8333,0.5,74.77,60,100,9.22,overcast clouds
116,Hambantota,LK,6.1241,81.1185,84.54,84,20,13.8,few clouds
117,Thompson,CA,55.7435,-97.8558,42.3,87,100,5.23,overcast clouds
118,Albany,US,42.6001,-73.9662,60.58,54,100,5.82,overcast clouds
119,Kieta,PG,-6.2167,155.6333,78.8,84,100,4.88,light rain
